ORGANISATION_CODE,ORGANISATION_TYPE,FULL_NAME,SHORT_NAME,URL
SUPP,UNIV ORG BODY,Professional Services,Professional Services,http://www.bristol.ac.uk/university/governance/organisational-structure/professional-services/
FENG,ACADEMIC ORG BODY,Faculty of Engineering,Faculty of Engineering,http://www.bristol.ac.uk/engineering/
FOAT,ACADEMIC ORG BODY,Faculty of Arts,Faculty of Arts,http://www.bristol.ac.uk/arts/
FMVS,ACADEMIC ORG BODY,Faculty of Biomedical Sciences,Faculty of Biomedical Sciences,http://www.bris.ac.uk/biomedical-sciences/
FMDY,ACADEMIC ORG BODY,Faculty of Health Sciences,Faculty of Health Sciences,http://www.bristol.ac.uk/health-sciences/
FSSL,ACADEMIC ORG BODY,Faculty of Social Sciences and Law,Faculty of Social Sciences and Law,http://www.bristol.ac.uk/fssl/
CASU,CORP ORG BODY,Services Unit,Services Unit,
CCOR,CORP ORG BODY,Corporate Costs,Corporate Costs,
ACAD,ACADEMIC ORG BODY,Academic Faculties,Academic Faculties,
CORP,UNIV ORG BODY,Other Corporate Areas,Other Corporate Areas,
DCAM,ADMIN ORG BODY,Development and Alumni Relations,Development and Alumni Relations,
DFIN,ADMIN ORG BODY,Finance Services,Finance Services,
DPER,ADMIN ORG BODY,Human Resources,Human Resources,
DRES,ADMIN ORG BODY,Research and Enterprise Development,Research and Enterprise Development,
DSEC,ADMIN ORG BODY,University Secretary's Office,University Secretary's Office,
DARG,ADMIN ORG BODY,Academic Registry,Academic Registry,http://www.bristol.ac.uk/academicregistry/
DEDU,ADMIN ORG BODY,Education Support Unit,Education Support Unit,
DSEH,ADMIN ORG BODY,"Centre for Sport, Exercise and Health","Centre for Sport, Exercise and Health",
DRCO,ADMIN ORG BODY,Residential and Hospitality Services,Residential and Hospitality Services,http://www.bristol.ac.uk/residential-hospitality/
DSTM,ADMIN ORG BODY,Senior Team,Senior Team,http://www.bristol.ac.uk/university/governance/constitutionaldocs/universityofficers/senior-staff/
ESOP,ADMIN DEPARTMENT,Estates Operations,Estates Operations,
SRAA,ADMIN UNIT,"Student Recruitment, Access and Admissions Division","Student Recruitment, Access and Admissions Division",http://www.bristol.ac.uk/sraa/
STSS,ADMIN DEPARTMENT,Students Services,Students Services,
FLAW,ACADEMIC ORG BODY,Faculty of Law,Faculty of Law,
CAMP,ADMIN DEPARTMENT,Campaign for Resource,Campaign for Resource,
CPRO,ADMIN UNIT,Central Property Costs,Central Property Costs,
HPRO,ADMIN UNIT,Hospital Property Costs,Hospital Property Costs,
FSOC,ACADEMIC ORG BODY,Faculty of Social Sciences,Faculty of Social Sciences,
FMED,ACADEMIC ORG BODY,Faculty of Medicine,Faculty of Medicine,
DEST,ADMIN ORG BODY,Estates,Estates,
DISR,ADMIN ORG BODY,Information Services,Information Services,
DCMM,ADMIN ORG BODY,Marketing and Communications Division,Communications and Marketing,
CAOP,ADMIN DEPARTMENT,Catering Operations,Catering Operations,
CINC,SERVICES UNIT,Corporate Costs,Corporate Costs,
FSCI,ACADEMIC ORG BODY,Faculty of Science,Faculty of Science,http://www.bristol.ac.uk/science/
BSSS,SERVICES UNIT,Biological Sciences Services Unit,Biological Sciences Services Unit,
FRPE,ACADEMIC UNIT,Food Refrigeration and Process Engineering Research Centre,Food Refrigeration and Process Engineering Research Centre,http://www.frperc.bris.ac.uk
DCLS,ACADEMIC UNIT,Clinical Dean Southmead Hospital,Clinical Dean Southmead Hospital,
EMRC,ACADEMIC UNIT,Engineering Materials (URC),Engineering Materials (URC),http://www.fen.bris.ac.uk/mech/emrc/emrc.html
ETHM,ACADEMIC UNIT,Centre for Ethics in Medicine,Centre for Ethics in Medicine,http://www.bristol.ac.uk/ethicsinmedicine/
PHED,ACADEMIC DEPARTMENT,"Centre for Exercise, Nutrition and Health Sciences","Exercise, Nutrition and Health Sciences",http://www.bristol.ac.uk/enhs/
SURN,ACADEMIC UNIT,Surgery (North Bristol),Surgery (North Bristol),
CEAS,ACADEMIC UNIT,Centre for East Asian Studies,Centre for East Asian Studies,http://www.bristol.ac.uk/ceas/
SENR,ADMIN UNIT,Senior Common Room,Senior Common Room,http://www.bristol.ac.uk/scr/
MISD,ADMIN UNIT,Management Information Services,Management Information Services,http://www.bris.ac.uk/Depts/Registrar/MIS/
ADSI,ADMIN UNIT,Disability Services,Disability Services,http://www.bristol.ac.uk/disability-services/
LCLB,ADMIN UNIT,Langford Club,Langford Club,
OSLO,ADMIN SUBUNIT,Overseas Liaison Office,Overseas Liaison Office,
PRIN,ADMIN UNIT,Print Services,Print Services,http://www.bristol.ac.uk/print-services/
STAT,ADMIN SUBUNIT,Stationery Office,Stationery Office,
MEDF,ACADEMIC OFFICE,Faculty of Medicine,Faculty of Medicine,http://www.medici.bris.ac.uk/medf/
INFO,ADMIN UNIT,Public Relations Office,Public Relations Office,http://www.bris.ac.uk/public-relations/
PSYC,ACADEMIC SCHOOL,School of Experimental Psychology,Experimental Psychology,http://www.bristol.ac.uk/expsych
VGEN,ACADEMIC UNIT,Veterinary General,Veterinary General,
OMED,ACADEMIC UNIT,"Oral Medicine, Pathology and Microbiology","Oral Medicine, Pathology and Microbiology",
IFAC,ACADEMIC UNIT,Interface Analysis Centre,Interface Analysis Centre,http://www.bristol.ac.uk/physics/research/iac/
EXAM,ADMIN SUBUNIT,Examinations Office,Examinations Office,http://www.bristol.ac.uk/exams/
GEOG,ACADEMIC SCHOOL,School of Geographical Sciences,Geographical Sciences,http://www.bristol.ac.uk/geography/
GELY,ACADEMIC SCHOOL,School of Earth Sciences,Earth Sciences,http://www.bristol.ac.uk/earthsciences/
MANO,ACADEMIC UNIT,Manor Hall,Manor Hall,http://www.bris.ac.uk/Depts/Manor/
MARK,ADMIN UNIT,Conference Office,Conference Office,http://www.bristol.ac.uk/conferences-hospitality/
ENGL,ACADEMIC DEPARTMENT,Department of English,English,http://www.bris.ac.uk/english/
ALUM,ADMIN UNIT,Alumni Relations Office,Alumni Relations Office,http://www.bris.ac.uk/alumni/
STED,ADMIN SUBUNIT,JobShop,JobShop,http://www.bristol.ac.uk/careers/jobshop/
HFLO,ACADEMIC UNIT,Animal Services Unit,Animal Services Unit,
FACL,ADMIN UNIT,Faculty Offices,Faculty Offices,
SEAD,ADMIN UNIT,General Administration (Secretary),General Administration (Secretary),
SPOL,ACADEMIC SCHOOL,School for Policy Studies,Policy Studies,http://www.bristol.ac.uk/sps/
EPID,ACADEMIC DEPARTMENT,Department of Epidemiology and Public Health Medicine,Epidemiology and Public Health Medicine,
EURO,ADMIN SUBUNIT,European Office,European Office,
OWEL,ADMIN SUBUNIT,Overseas Welfare Office,Overseas Welfare Office,
AMAR,ACADEMIC UNIT,Advanced Manufacturing & Automation (URC),Advanced Manufacturing & Automation (URC),
WINK,ACADEMIC SUBUNIT,Winkworth House,Winkworth House,
HAMP,ACADEMIC SUBUNIT,Hampton House,Hampton House,
SECR,ADMIN DEPARTMENT,Office of the Secretary,Office of the Secretary,
SOLS,ACADEMIC UNIT,Centre for Socio-Legal Studies,Centre for Socio-Legal Studies,
TELE,ADMIN UNIT,Telephone and Video Conference Services,Telephone and Video Conference Services,http://www.bris.ac.uk/telephones/
REPR,ADMIN SUBUNIT,Reprographics,Reprographics,
CONF,ADMIN SUBUNIT,Conference Office,Conference Office,
GRIN,ACADEMIC UNIT,Institute of Grinding Technology,Institute of Grinding Technology,http://www.fen.bris.ac.uk/igt
LACT,ADMIN SUBUNIT,Langford Catering Office,Langford Catering Office,
CRAG,ACADEMIC UNIT,Countryside and Recreation Advisory Group,Countryside and Recreation Advisory Group,
SAUS,ACADEMIC DEPARTMENT,School for Advanced Urban Studies,Advanced Urban Studies,
PTCH,ACADEMIC UNIT,Physical & Theoretical Chemistry,Physical & Theoretical Chemistry,
PSPH,ACADEMIC UNIT,Psycho Pharmacology Unit,Psycho-Pharmacology Unit,http://www.bris.ac.uk/Depts/ClinMed/PsychPharm/
CELD,ACADEMIC SUBUNIT,Subdivision of Care of the Elderly,Subdivision of Care of the Elderly,
SITG,ADMIN UNIT,External Estate,External Estate,http://www.bristol.ac.uk/external-estate/
SENQ,ADMIN UNIT,Enquiry Office,Enquiry Office,
ANHU,ACADEMIC DEPARTMENT,Department of Animal Husbandry,Animal Husbandry,
BIOC,ACADEMIC SCHOOL,School of Biochemistry,Biochemistry,http://www.bris.ac.uk/biochemistry/
AGSC,ACADEMIC DEPARTMENT,Department of Agricultural Sciences,Agricultural Sciences,http://www.bris.ac.uk/Depts/Science/agrsci.htm
DEAF,ACADEMIC UNIT,Centre for Deaf Studies,Centre for Deaf Studies,
BESM,ADMIN SUBUNIT,Engineering Services Management Office,Engineering Services Management Office,
GPTU,ACADEMIC UNIT,General Practice Unit,General Practice Unit,
GOLD,ACADEMIC UNIT,Goldney Hall,Goldney Hall,http://www.bris.ac.uk/goldney/
AERO,ACADEMIC DEPARTMENT,Department of Aerospace Engineering,Aerospace Engineering,http://www.bristol.ac.uk/aerospace/
BPUR,ADMIN DEPARTMENT,Estates Contracting Group,Estates Contracting Group,http://www.bristol.ac.uk/estates/departments/ecg/
BCOS,ADMIN SUBUNIT,Cost Office,Cost Office,
NDRC,ACADEMIC UNIT,National Development Centre,National Development Centre,
ORCH,ACADEMIC UNIT,Organic & Biological Chemistry,Organic & Biological Chemistry,
OSEA,ADMIN SUBUNIT,Overseas Married Accommodation Office,Overseas Married Accommodation Office,
LAHO,ADMIN SUBUNIT,Site Services (Langford House),Site Services (Langford House),
FARM,ACADEMIC UNIT,Langford Farm,Langford Farm,
HCAR,ACADEMIC UNIT,Health Care Evaluation Unit,Health Care Evaluation Unit,
HBAK,ACADEMIC UNIT,Hiatt Baker Hall,Hiatt Baker Hall,http://www.bristol.ac.uk/hiattbaker/
HOUS,ADMIN SUBUNIT,Housekeeping Office,Housekeeping Office,
CONC,ACADEMIC UNIT,Concerts Office,Concerts Office,
COMP,ADMIN UNIT,Computing Service,Computing Service,http://www.cse.bris.ac.uk/
MEDI,ACADEMIC UNIT,Medicine,Medicine,http://www.bris.ac.uk/Depts/DivMed/
MODL,ACADEMIC SCHOOL,School of Modern Languages,Modern Languages,http://www.bristol.ac.uk/sml/
CLIN,ACADEMIC UNIT,Clinical Audit Unit,Clinical Audit Unit,
SOCF,ACADEMIC OFFICE,Faculty of Social Sciences,Faculty of Social Sciences,http://www.bris.ac.uk/Depts/SocSci/
VSUR,ACADEMIC DEPARTMENT,Department of Veterinary Surgery,Veterinary Surgery,
MDPG,ACADEMIC UNIT,Medical Postgraduate Unit,Medical Postgraduate Division,
INLO,ADMIN DEPARTMENT,Research Support and Industrial Liaison Office,Research Support and Industrial Liaison Office,http://www.bris.ac.uk/Depts/RSILO/
MORE,ACADEMIC UNIT,Molecular Recognition Centre (URC),Molecular Recognition Centre (URC),http://www.bch.bris.ac.uk/mrc/mrc.HTML
RUSS,ACADEMIC DEPARTMENT,Department of Russian,Russian,http://www.bris.ac.uk/russian/
ZOOL,ACADEMIC DEPARTMENT,Department of Zoology,Zoology,
MAXF,ACADEMIC UNIT,Oral and Maxillo-Facial Surgery,Oral and Maxillo-Facial Surgery,
PROP,ADMIN UNIT,Property Services Office,Property Services Office,
DPRO,ACADEMIC UNIT,Prosthodontics and Periodontology,Prosthodontics and Periodontology,
PHAR,ACADEMIC DEPARTMENT,Department of Pharmacology,Pharmacology,http://www.bristol.ac.uk/pharmacology/
INTL,ADMIN UNIT,International Office,International Office,http://www.bris.ac.uk/international-office/
EENG,ACADEMIC DEPARTMENT,Department of Electrical & Electronic Engineering,Electrical & Electronic Engineering,http://www.bristol.ac.uk/engineering/departments/eeng/
EMAT,ACADEMIC DEPARTMENT,Department of Engineering Mathematics,Engineering Mathematics,http://www.bristol.ac.uk/engineering-maths/
RADI,ACADEMIC UNIT,Division of Clinical Radiology,Clinical Radiology,http://www.rad.bris.ac.uk/
ANAT,ACADEMIC DEPARTMENT,Centre for Applied Anatomy,Applied Anatomy,http://www.bristol.ac.uk/anatomy/
BOTG,ADMIN SUBUNIT,University Botanic Garden,University Botanic Garden,http://www.bris.ac.uk/Depts/BotanicGardens/
BCAP,ADMIN DEPARTMENT,Capital Projects,Capital Projects,
CARU,ACADEMIC UNIT,RUCAR,RUCAR,
SOAD,ACADEMIC UNIT,Department of Social Policy & Social Planning,Social Policy & Social Planning,
SOCI,ACADEMIC DEPARTMENT,Department of Sociology,Sociology,http://www.bristol.ac.uk/sociology/
SFIN,ADMIN SUBUNIT,Student Funding Office,Student Funding Office,http://www.bris.ac.uk/studentfunding/
STHE,ADMIN UNIT,Students' Health Service,Students' Health Service,http://www.bristol.ac.uk/students-health/
JSOC,ADMIN UNIT,Joint Social Club,Joint Social Club,http://www.bristol.ac.uk/staff-club/
ITAL,ACADEMIC DEPARTMENT,Department of Italian,Italian,http://www.bristol.ac.uk/italian/
LARY,ACADEMIC UNIT,"Laryngology, Rhinology & Otology","Laryngology, Rhinology & Otology",http://www.bris.ac.uk/Depts/ENT/
LAWD,ACADEMIC SCHOOL,University of Bristol Law School,University of Bristol Law School,http://www.bristol.ac.uk/law/
SURG,ACADEMIC UNIT,Division of Surgery,Surgery,http://www.bris.ac.uk/Depts/Surgery/
SECU,ADMIN UNIT,Security Services,Security Services,http://www.bris.ac.uk/securityservices/
PHIL,ACADEMIC DEPARTMENT,Department of Philosophy,Philosophy,http://www.bristol.ac.uk/philosophy/
BIGC,ACADEMIC UNIT,Biogeochemical Research (URC),Biogeochemical Research (URC),
EACH,ACADEMIC UNIT,Environmental and Analytical Chemistry,Environmental and Analytical Chemistry,
CHEM,ACADEMIC SCHOOL,School of Chemistry,Chemistry,http://www.bristol.ac.uk/chemistry/
LIBR,ADMIN UNIT,University Library Service,University Library Service,http://www.bris.ac.uk/Depts/Library/
ARTF,ACADEMIC OFFICE,Arts Faculty Office,Arts Faculty Office,http://www.bristol.ac.uk/arts/
CATC,ADMIN SUBUNIT,Catering Office,Catering Office,
HAWT,ADMIN UNIT,The Hawthorns,The Hawthorns,http://www.bristol.ac.uk/hawthorns/
ETOX,ACADEMIC UNIT,Environmental Toxicology Centre,Environmental Toxicology Centre,
CIVE,ACADEMIC DEPARTMENT,Department of Civil Engineering,Civil Engineering,http://www.bristol.ac.uk/civilengineering/
ONCO,ACADEMIC UNIT,Oncology,Oncology,http://www.bris.ac.uk/Depts/Oncology/
INCH,ACADEMIC UNIT,Inorganic & Materials Chemistry,Inorganic & Materials Chemistry,
COSC,ACADEMIC DEPARTMENT,Department of Computer Science,Computer Science,http://www.bristol.ac.uk/engineering/departments/computerscience/
COND,ACADEMIC UNIT,Restorative Dentistry,Restorative Dentistry,
UNIV,UNIVERSITY,The University of Bristol,The University of Bristol,
BMEC,ADMIN SUBUNIT,Mechanical Services Office,Mechanical Services Office,
BELE,ADMIN SUBUNIT,Electrical Services Office,Electrical Services Office,
RODN,ACADEMIC UNIT,Rodney Lodge,Rodney Lodge,
MDIL,ACADEMIC UNIT,Division of Medical Illustration,Medical Illustration,
SMED,ACADEMIC DEPARTMENT,Department of Social Medicine,Social Medicine,http://www.epi.bris.ac.uk/
THEA,ACADEMIC UNIT,Wickham Theatre,Wickham Theatre,http://www.bristol.ac.uk/drama/theatre/
EFMG,ACADEMIC UNIT,Engineering Management Group,Engineering Management Group,http://www.fen.bris.ac.uk/engmgt/
FMTV,ACADEMIC UNIT,Film and Television,Film and Television,
LOAN,ADMIN SUBUNIT,Student Loans Office,Student Loans Office,
MSDG,ACADEMIC UNIT,Director of Graduate Studies Medical School,Director of Graduate Studies Medical School,
PLAN,ADMIN UNIT,Planning Support Unit,Planning Support Unit,http://www.bris.ac.uk/Depts/Registrar/Planning/
WELC,ACADEMIC UNIT,Study of Welfare Change (URC),Study of Welfare Change (URC),
READ,ADMIN DEPARTMENT,Academic Registrar's Office,Academic Registrar's Office,
OBST,ACADEMIC UNIT,Obstetrics & Gynaecology,Obstetrics & Gynaecology,http://www.obgyn-bristoluniversity.org.uk/
SAFE,ADMIN UNIT,Safety and Health Services,Safety and Health Services,http://www.bristol.ac.uk/safety/
DCLF,ACADEMIC UNIT,Clinical Dean Frenchay Hospital,Clinical Dean Frenchay Hospital,
DCLI,ACADEMIC UNIT,"Clinical Dean's Office, CfME",Clinical Dean's Office,
VESC,ACADEMIC SCHOOL,School of Veterinary Sciences,Veterinary Sciences,http://www.bristol.ac.uk/vetscience/
MOGT,ACADEMIC UNIT,Molecular Genetics Training & Support Laboratory,Molecular Genetics Training & Support Laboratory,
CANE,ACADEMIC UNIT,Cancer Epidemiology Unit,Cancer Epidemiology Unit,
PANM,ACADEMIC SCHOOL,School of Cellular and Molecular Medicine,Cellular and Molecular Medicine,http://www.bristol.ac.uk/cellmolmed
POLI,ACADEMIC DEPARTMENT,Department of Politics,Politics,http://www.bristol.ac.uk/politics/
